ts,wh,
1650452400,1217,2022-04-20 11:00
1650453300,1319,2022-04-20 11:15
1650454200,1372,2022-04-20 11:30
1650455100,1567,2022-04-20 11:45
1650456000,1249,2022-04-20 12:00
1650456900,0,2022-04-20 12:15
1650457800,0,2022-04-20 12:30
1650458700,52,2022-04-20 12:45
1650459600,3473,2022-04-20 13:00
1650460500,2913,2022-04-20 13:15
1650461400,2579,2022-04-20 13:30
1650462300,2286,2022-04-20 13:45
1650463200,2477,2022-04-20 14:00
1650464100,2094,2022-04-20 14:15
1650465000,1758,2022-04-20 14:30
1650465900,2012,2022-04-20 14:45
1650466800,2056,2022-04-20 15:00
1650467700,1726,2022-04-20 15:15
1650468600,1553,2022-04-20 15:30
1650469500,1882,2022-04-20 15:45
1650470400,1732,2022-04-20 16:00
1650471300,1982,2022-04-20 16:15
1650472200,1664,2022-04-20 16:30
1650473100,1703,2022-04-20 16:45
1650474000,1734,2022-04-20 17:00
1650474900,1859,2022-04-20 17:15
1650475800,1833,2022-04-20 17:30
1650476700,1686,2022-04-20 17:45
1650477600,2147,2022-04-20 18:00
1650478500,2087,2022-04-20 18:15
1650479400,1982,2022-04-20 18:30
1650480300,1868,2022-04-20 18:45
1650481200,1927,2022-04-20 19:00
1650482100,1999,2022-04-20 19:15
1650483000,1784,2022-04-20 19:30
1650483900,1556,2022-04-20 19:45
1650484800,1463,2022-04-20 20:00
1650485700,1520,2022-04-20 20:15
1650486600,1461,2022-04-20 20:30
1650487500,1610,2022-04-20 20:45
1650488400,1521,2022-04-20 21:00
1650489300,1747,2022-04-20 21:15
1650490200,1709,2022-04-20 21:30
1650491100,1633,2022-04-20 21:45
1650492000,1908,2022-04-20 22:00
1650492900,1865,2022-04-20 22:15
1650493800,1687,2022-04-20 22:30
1650494700,1535,2022-04-20 22:45
1650495600,2148,2022-04-20 23:00
1650496500,2540,2022-04-20 23:15
1650497400,2377,2022-04-20 23:30
1650498300,2148,2022-04-20 23:45
1650499200,1786,2022-04-21 00:00
1650500100,2015,2022-04-21 00:15
1650501000,2232,2022-04-21 00:30
1650501900,2003,2022-04-21 00:45
1650502800,2050,2022-04-21 01:00
1650503700,2098,2022-04-21 01:15
1650504600,2162,2022-04-21 01:30
