Begin,End,wh,L1/kwh,L2/kwh
2023-08-03 08:00,2023-08-03 08:15,3156,0.690747782,0
2023-08-03 08:15,2023-08-03 08:30,3536,0.20361991,0
2023-08-03 08:30,2023-08-03 08:45,3269,0.443560722,0
2023-08-03 08:45,2023-08-03 09:00,3243,0.447116867,0
2023-08-03 09:00,2023-08-03 09:15,3383,0.753768844,0
2023-08-03 09:15,2023-08-03 09:30,3322,0.436484046,0
2023-08-03 09:30,2023-08-03 09:45,3065,0.590538336,0
2023-08-03 09:45,2023-08-03 10:00,3086,0.353208036,0
2023-08-03 10:00,2023-08-03 10:15,3160,0.458860759,0
2023-08-03 10:15,2023-08-03 10:30,3690,0.688346883,0
2023-08-03 10:30,2023-08-03 10:45,3863,0.564328242,0
2023-08-03 10:45,2023-08-03 11:00,3955,0.09102402,0
2023-08-03 11:00,2023-08-03 11:15,3783,0.576262226,0
2023-08-03 11:15,2023-08-03 11:30,3690,0.39295393,0
2023-08-03 11:30,2023-08-03 11:45,3458,0.734528629,0
2023-08-03 11:45,2023-08-03 12:00,3466,0.418349683,0
2023-08-03 12:00,2023-08-03 12:15,3621,0.602043634,0
2023-08-03 12:15,2023-08-03 12:30,3600,0.302777778,0
2023-08-03 12:30,2023-08-03 12:45,3707,0.588076612,0
2023-08-03 12:45,2023-08-03 13:00,3932,0.277212614,0
2023-08-03 13:00,2023-08-03 13:15,3821,0.473697985,0
2023-08-03 13:15,2023-08-03 13:30,3958,0.550783224,0
2023-08-03 13:30,2023-08-03 13:45,4055,0.626387176,0
2023-08-03 13:45,2023-08-03 14:00,4171,0.347638456,0
2023-08-03 14:00,2023-08-03 14:15,4339,0.417146808,0
2023-08-03 14:15,2023-08-03 14:30,4402,0.495229441,0
2023-08-03 14:30,2023-08-03 14:45,4404,0.165758401,0
2023-08-03 14:45,2023-08-03 15:00,3995,0.453066333,0
2023-08-03 15:00,2023-08-03 15:15,3858,0.565059616,0
2023-08-03 15:15,2023-08-03 15:30,4188,0.520534862,0
2023-08-03 15:30,2023-08-03 15:45,3879,0.466615107,0
2023-08-03 15:45,2023-08-03 16:00,4043,0.539203562,0
2023-08-03 16:00,2023-08-03 16:15,3341,0.326249626,0
2023-08-03 16:15,2023-08-03 16:30,2411,0.900041477,0
2023-08-03 16:30,2023-08-03 16:45,2377,1.068573833,0
2023-08-03 16:45,2023-08-03 17:00,1518,0.961791831,0
2023-08-03 17:00,2023-08-03 17:15,136,0,0
2023-08-03 20:15,2023-08-03 20:30,980,0,0
2023-08-03 20:30,2023-08-03 20:45,1048,0,0
2023-08-03 20:45,2023-08-03 21:00,1064,0,0
2023-08-03 21:00,2023-08-03 21:15,1041,0,0
2023-08-03 21:15,2023-08-03 21:30,1074,0,0
2023-08-03 21:30,2023-08-03 21:45,1010,0,1.366336634
2023-08-03 21:45,2023-08-03 22:00,1020,0,1.362745098
2023-08-03 22:00,2023-08-03 22:15,1047,0,0.324737345
2023-08-03 22:15,2023-08-03 22:30,1008,0,1.378968254
2023-08-03 22:30,2023-08-03 22:45,1038,0,1.001926782
2023-08-03 22:45,2023-08-03 23:00,1012,0,1.363636364
2023-08-03 23:00,2023-08-03 23:15,1017,0,1.366764995
2023-08-03 23:15,2023-08-03 23:30,999,0,1.031031031
2023-08-03 23:30,2023-08-03 23:45,973,0,1.428571429
2023-08-04 00:00,2023-08-04 00:15,988,0,1.396761134
2023-08-04 00:15,2023-08-04 00:30,957,0,0.721003135
2023-08-04 00:30,2023-08-04 00:45,980,0,1.418367347
2023-08-04 00:45,2023-08-04 01:00,953,0,1.448058762
2023-08-04 01:00,2023-08-04 01:15,953,0,1.091290661
2023-08-04 01:15,2023-08-04 01:30,991,0,1.049445005
2023-08-04 01:30,2023-08-04 01:45,954,0,1.090146751
2023-08-04 01:45,2023-08-04 02:00,994,0,1.046277666
2023-08-04 02:00,2023-08-04 02:15,934,0,1.47751606
2023-08-04 02:15,2023-08-04 02:30,959,0,1.449426486
2023-08-04 02:30,2023-08-04 02:45,989,0,1.395348837
2023-08-04 02:45,2023-08-04 03:00,977,0,0.358239509
2023-08-04 03:00,2023-08-04 03:15,957,0,1.086729363
2023-08-04 03:15,2023-08-04 03:30,919,0,1.501632209
2023-08-04 03:30,2023-08-04 03:45,991,0,1.392532795
2023-08-04 03:45,2023-08-04 04:00,970,0,1.072164948
2023-08-04 04:00,2023-08-04 04:15,983,0,1.057985758
2023-08-04 04:15,2023-08-04 04:30,938,0,1.481876333
2023-08-04 04:30,2023-08-04 04:45,1045,0,0.660287081
2023-08-04 04:45,2023-08-04 05:00,1135,0,1.215859031
2023-08-04 05:00,2023-08-04 05:15,1174,0,1.183986371
2023-08-04 05:15,2023-08-04 05:30,1323,0,1.0430839
2023-08-04 05:30,2023-08-04 05:45,2381,0,0.583788324
2023-08-04 05:45,2023-08-04 06:00,1589,0,0
2023-08-04 06:00,2023-08-04 06:15,1878,0,0.734824281
2023-08-04 06:15,2023-08-04 06:30,1959,0,0.709545687
2023-08-04 06:30,2023-08-04 06:45,1934,0,0.713547053
2023-08-04 07:15,2023-08-04 07:30,3234,0,0.321583179
2023-08-04 07:30,2023-08-04 07:45,3942,0,0.350076104
2023-08-04 07:45,2023-08-04 08:00,4246,0,0.327366934
2023-08-04 08:00,2023-08-04 08:15,5199,0,0.198115022
2023-08-04 08:15,2023-08-04 08:30,4654,0,0.446927374
2023-08-04 08:30,2023-08-04 08:45,4495,0,0.309232481
2023-08-04 08:45,2023-08-04 09:00,3713,0,0.83759763
2023-08-04 09:00,2023-08-04 09:15,4218,0,0.410146989
2023-08-04 09:15,2023-08-04 09:30,3639,0,0.761198131
2023-08-04 09:30,2023-08-04 09:45,4021,0.271076847,0.345685153
