key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748240,2024-02-01T00:44:00:00,2024-02-01T00:45:00:00,1706748240,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748300,2024-02-01T00:45:00:00,2024-02-01T00:46:00:00,1706748300,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748360,2024-02-01T00:46:00:00,2024-02-01T00:47:00:00,1706748360,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748420,2024-02-01T00:47:00:00,2024-02-01T00:48:00:00,1706748420,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748480,2024-02-01T00:48:00:00,2024-02-01T00:49:00:00,1706748480,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748540,2024-02-01T00:49:00:00,2024-02-01T00:50:00:00,1706748540,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748600,2024-02-01T00:50:00:00,2024-02-01T00:51:00:00,1706748600,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748660,2024-02-01T00:51:00:00,2024-02-01T00:52:00:00,1706748660,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748720,2024-02-01T00:52:00:00,2024-02-01T00:53:00:00,1706748720,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748780,2024-02-01T00:53:00:00,2024-02-01T00:54:00:00,1706748780,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748840,2024-02-01T00:54:00:00,2024-02-01T00:55:00:00,1706748840,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748900,2024-02-01T00:55:00:00,2024-02-01T00:56:00:00,1706748900,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706748960,2024-02-01T00:56:00:00,2024-02-01T00:57:00:00,1706748960,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749020,2024-02-01T00:57:00:00,2024-02-01T00:58:00:00,1706749020,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749080,2024-02-01T00:58:00:00,2024-02-01T00:59:00:00,1706749080,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749140,2024-02-01T00:59:00:00,2024-02-01T01:00:00:00,1706749140,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749200,2024-02-01T01:00:00:00,2024-02-01T01:01:00:00,1706749200,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749260,2024-02-01T01:01:00:00,2024-02-01T01:02:00:00,1706749260,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749320,2024-02-01T01:02:00:00,2024-02-01T01:03:00:00,1706749320,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749380,2024-02-01T01:03:00:00,2024-02-01T01:04:00:00,1706749380,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749440,2024-02-01T01:04:00:00,2024-02-01T01:05:00:00,1706749440,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749500,2024-02-01T01:05:00:00,2024-02-01T01:06:00:00,1706749500,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749560,2024-02-01T01:06:00:00,2024-02-01T01:07:00:00,1706749560,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749620,2024-02-01T01:07:00:00,2024-02-01T01:08:00:00,1706749620,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749680,2024-02-01T01:08:00:00,2024-02-01T01:09:00:00,1706749680,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
