original_filename,page,file_url,platform_link,starts,text,hours,asset_id,hours_num
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2FWhatsApp_Image_2023-12-29_at_18.09.43_fb080a83-12_7_30.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/45c1834f-6cb2-46dd-9f9d-24bfd1fc24aa.jpeg?expires=1711738818&or=0&s=4e7f3dd61ed7b4898160216f2ca26118,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/49de47b9-ed30-11ee-96a8-4aca75adb6cb,,DSE Deep Sea Electronics 1697 3m ( 0 14444 Galaxy A73 5G 00 O,1697h3m,,1697
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2FWhatsApp_Image_2023-12-19_at_12.54.45_fb543d12-12_5_31.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/dd91f80a-7df2-4a7c-b8f4-a0cff6abdd55.jpeg?expires=1711738818&or=0&s=ad7f2d66fa46ce6117570e210811db4b,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/47baf314-ed30-11ee-90e2-161cfd66d21b,,"1 Aydan  uzun  aore jeneratoron kullanilmaycagi durumlarda jeneratorler kullanma kilavuzunda  belirtildigi  sekilde depolanmalidir . 1 Aydan uzun  sureli jeneratoro kullanmadiginiz zaman jenerator calistirilirken kullanma kilavuzundaki  onlemler alinmalidir . When the genset will not be used for over a  month , it must be stored according  to recommendations which are given in  manual Anytime your genset is not used for over a  month ,  during first start please comply recommendations that are given in manual ETK - 311 DSE    Deep  Sea Electronics 759h 15 1 AUTO Made in  U.K. 800940 UNHCR GENERATING CITY ELECTRICITY aksa POWER GENERATION",759h15m,800940,759
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F6358651-11_59_16.JPG,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/91aa7143-211a-4e5d-b51a-20ac148d011e.jpeg?expires=1711738818&or=0&s=2682ec3eaf6bdb5ba1c3c718467cbc53,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/4659513f-ed30-11ee-90c5-161cfd66d21b,764,Engine Run Time DSE 1542h 54m 764 Start ( s ),1542h 54m,,1542
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F801120-12_18_42.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/d49c52a9-b197-4891-88e0-9192bcba2b84.jpeg?expires=1711738818&or=0&s=d9b6ba979418854776673f48f35d82a9,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/45f7cee4-ed30-11ee-90c3-161cfd66d21b,,DSE Deep Sea Electronics 757h 58m AUTO Made in U.K. I 801120 UNHCR B PARA GENERATING CITY ELECTRICITY POWE IWER,757h 58m,801120,757
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F801118-12_16_26.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/58166ec1-86a0-43fc-9886-812b6ca2ad96.jpeg?expires=1711738818&or=0&s=2367b9d678e32abcbef51786333493e3,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/440f3466-ed30-11ee-965c-4aca75adb6cb,,DSE Deep Sea Electronics 1466t 13m 10+ AUTO . Made in U.K. 801118 UNHCR B ELECTRICITY POW GENERATING CITY,1466h13m,801118,1466
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F708791-12_9_38.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/47205117-5034-4a43-8b81-756883240d00.jpeg?expires=1711738818&or=0&s=b689e9752782ad32fa898e234a8ef44b,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/43a40d23-ed30-11ee-9648-4aca75adb6cb,38,"Engine Run Time DSE 22h 57m 38 Start ( s ) Switch O E AUTO Made in U.K. Peak CEP Diesel Generator Set ( ISO 8528 ) 708791 Model WPS80S SN 18D2003 KVA kW Prime power 80 64 Standby power 88 70 Voltage : 240 / 415V Current : 111A Frequency : 50Hz Phase : 3P RPM : 1500r / min Power Factor : 0.8 ( lag ) Weight : 1464kg Date : 2018.12 Peak International Trade ( Tianjin ) Co. , Ltd www.peakglobe.com SmartGen Source 1 Source 2 T - V 0971 - V #O ။ DO-",22h 57m,708791,22
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F80119-12_17_39.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/d59d86e9-0c43-4788-a8ba-5fc21d657182.jpeg?expires=1711738818&or=0&s=5477e46d7bdb45fe74952f97da81fb75,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/42f17cb0-ed30-11ee-9601-221e535af36b,,792h A 33. O AUTO Made in U.K. ) W ( 801119 UNHCR B ATING CITY,792h33m,801119,792
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F80117-12_15_18.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/ea9d8ca0-1e14-48b8-90dc-01cbe0b8bda8.jpeg?expires=1711738818&or=0&s=7e8b73ec78e8e43761f9ef685891bb03,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/42b2cc7b-ed30-11ee-95ff-221e535af36b,,DSE Deep Sea Electronics 920 h 14M ( 0 ) 1 O AUTO Made in U.K. + 801117 UNHCR GENERATING CITTERCORNICITY POW,920h14m,801117,920
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F6402D11-11_55_29.JPG,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/9c449508-56dc-40da-affb-50399d35d78d.jpeg?expires=1711738818&or=0&s=ea58ac40b69b54c974bb959bff655a02,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/40bab352-ed30-11ee-95f0-221e535af36b,328,Engine Run Time D 219h 5m 328 Start ( s ),219h 5m,,219
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F6cbb2f57-17b1-4c7a-9788-758c834fd5b4%2F649DE71-11_57_7.JPG,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/ab845898-60e2-4ba9-86b3-ba32bfe463da.jpeg?expires=1711738818&or=0&s=a1e0edca206c1275d9d8e5085214b7dc,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/401d9076-ed30-11ee-af3b-52f8dd295e24,,OFF OIL LAMP ALERT AC SW ON STARTER SW START OFF DC 12V 83A AC 230V 230 50Hz aksa JENERATÖR,,732754,
